cycle,timestamp,elapsed_sec,robot_x,robot_y,heading_deg,vx_mps,vy_mps,omega_dps,speed_mps,state,entry_trench,return_trench,raw_detections,target_valid,tracked_fuel,confirmed_fuel,cluster_count,best_cluster_x,best_cluster_y,best_cluster_score,best_cluster_n,best_cluster_conf,corridor_length,corridor_progress,corridor_lateral_offset,dist_to_corridor_end,guide_point_count,guide_points_detail,corridor_score,max_curvature,avg_curvature,curvature_deriv,heading_rate_change,candidates_accepted,candidates_rejected,rejection_reasons,fuel_ahead_of_progress,marginal_gain,should_return,sim_balls_remaining,active_command,event,clusters_detail,fuel_positions
215,59.895,4.28,7.565,3.738,-77.4,2.47,-0.52,104.6,2.53,COMMIT_RETURN,RIGHT,LEFT,17,true,39,32,5,8.97,1.14,5.13,6,26.8,6.46,0.628,0.84,2.55,0,"",1.00,0.000,0.000,0.000,0.0,3,2,"behind_progress|curvature_exceeded",24,9.98,false,142,FuelCollection_DriverButton,,"#0(9.0,1.1)s=5.13 n=6 c=27|#1(6.6,2.9)s=5.06 n=7 c=31|#2(8.4,2.2)s=5.06 n=7 c=33|#3(6.6,4.2)s=4.90 n=8 c=19|#4(6.7,1.5)s=4.59 n=4 c=39","(6.5,4.4)c17|(6.8,4.9)c12|(6.2,4.2)c17|(6.4,3.7)c22|(6.3,3.6)c23|(6.9,4.4)c19|(6.7,4.3)c19|(6.1,2.9)c27|(6.8,3.1)c31|(6.6,2.8)c30|(6.8,3.5)c28|(6.5,2.5)c32|(6.9,3.8)c26|(6.6,3.3)c28|(6.5,1.5)c36|(6.8,1.2)c39|(7.0,2.2)c38|(6.8,1.6)c39|(6.9,1.5)c40|(8.4,0.9)c40|(8.2,2.0)c40|(8.1,2.5)c40|(8.3,2.1)c40|(8.7,2.0)c35|(8.4,2.4)c32|(9.2,0.7)c29|(9.0,1.3)c29|(9.0,1.7)c26|(9.1,1.2)c26|(8.6,2.4)c23|+2more"
220,59.996,4.38,7.560,3.491,-67.2,2.33,-0.99,101.3,2.53,COMMIT_RETURN,RIGHT,LEFT,22,true,42,41,6,9.00,1.24,5.19,7,32.9,6.46,0.665,0.79,2.30,0,"",1.00,0.000,0.000,0.000,0.0,3,3,"behind_progress|curvature_exceeded|lateral_deviation",30,13.86,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.19 n=7 c=33|#1(6.6,2.9)s=5.06 n=7 c=26|#2(8.6,2.2)s=5.05 n=12 c=31|#3(6.5,4.1)s=4.80 n=7 c=15|#4(6.7,1.5)s=4.58 n=4 c=34|#5(10.3,0.9)s=4.51 n=4 c=19","(6.5,4.4)c12|(6.2,4.2)c12|(6.4,3.7)c17|(6.3,3.6)c18|(6.9,4.4)c14|(6.7,4.3)c14|(6.1,2.9)c22|(6.8,3.1)c26|(6.6,2.8)c25|(6.8,3.5)c23|(6.5,2.5)c27|(6.9,3.8)c21|(6.6,3.3)c23|(6.5,1.5)c31|(6.8,1.2)c34|(7.0,2.2)c33|(6.8,1.6)c34|(6.9,1.5)c35|(8.4,0.9)c40|(8.2,2.0)c40|(8.1,2.5)c40|(8.3,2.1)c40|(8.7,2.0)c40|(8.4,2.4)c40|(9.2,0.7)c40|(9.1,1.3)c40|(9.0,1.6)c40|(9.1,1.2)c21|(8.7,2.4)c38|(8.5,1.9)c35|+11more"
225,60.096,4.48,7.558,3.240,-57.2,2.16,-1.33,97.7,2.54,COMMIT_RETURN,RIGHT,LEFT,26,true,46,41,6,9.00,1.23,5.27,7,36.3,6.46,0.703,0.73,2.05,0,"",1.00,0.000,0.000,0.000,0.0,3,3,"behind_progress|lateral_deviation|lateral_deviation",25,13.02,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.27 n=7 c=36|#1(8.7,2.2)s=5.17 n=13 c=36|#2(6.8,1.6)s=5.16 n=5 c=28|#3(6.5,3.2)s=4.96 n=9 c=17|#4(10.3,0.9)s=4.71 n=4 c=34|#5(11.4,0.8)s=3.84 n=3 c=16","(6.4,3.7)c12|(6.3,3.6)c13|(6.1,2.9)c17|(6.8,3.1)c21|(6.6,2.8)c20|(6.8,3.5)c18|(6.5,2.5)c22|(6.9,3.8)c16|(6.6,3.3)c18|(6.5,1.5)c26|(6.8,1.2)c29|(7.0,2.2)c28|(6.8,1.6)c29|(6.9,1.5)c30|(8.4,0.9)c40|(8.2,2.0)c40|(8.1,2.5)c40|(8.3,2.1)c40|(8.7,2.0)c40|(8.4,2.4)c40|(9.2,0.7)c40|(9.1,1.3)c40|(9.0,1.6)c40|(9.1,1.2)c16|(8.7,2.4)c40|(8.5,1.9)c40|(9.1,1.1)c40|(10.3,0.6)c38|(8.7,2.4)c38|(9.2,1.9)c38|+11more"
230,60.196,4.58,7.563,2.992,-47.8,1.91,-1.65,92.3,2.52,COMMIT_RETURN,RIGHT,LEFT,31,true,50,43,6,9.00,1.23,5.31,7,35.9,6.46,0.740,0.66,1.81,0,"",1.00,0.000,0.000,0.000,0.0,3,3,"behind_progress|lateral_deviation|lateral_deviation",25,14.87,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.31 n=7 c=36|#1(8.7,2.2)s=5.26 n=13 c=40|#2(10.4,1.1)s=5.23 n=5 c=36|#3(6.8,1.6)s=5.16 n=5 c=23|#4(6.6,3.1)s=4.95 n=7 c=14|#5(11.3,1.2)s=4.91 n=6 c=24","(6.1,2.9)c12|(6.8,3.1)c16|(6.6,2.8)c15|(6.8,3.5)c13|(6.5,2.5)c17|(6.9,3.8)c11|(6.6,3.3)c13|(6.5,1.5)c21|(6.8,1.2)c24|(7.0,2.2)c23|(6.8,1.6)c24|(6.9,1.5)c25|(8.4,0.9)c40|(8.2,2.0)c40|(8.1,2.5)c40|(8.3,2.1)c40|(8.7,2.0)c40|(8.4,2.4)c40|(9.2,0.7)c40|(9.1,1.3)c40|(9.0,1.6)c40|(9.1,1.2)c11|(8.7,2.4)c40|(8.5,1.9)c40|(9.1,1.1)c40|(10.3,0.6)c40|(8.7,2.4)c40|(9.2,1.9)c40|(10.5,0.9)c40|(9.0,2.3)c40|+13more"
235,60.296,4.68,7.559,2.840,-40.0,1.65,-1.93,89.0,2.54,COMMIT_RETURN,RIGHT,LEFT,37,true,50,45,7,9.00,1.23,5.34,7,36.0,6.46,0.763,0.63,1.66,0,"",1.00,0.000,0.000,0.000,0.0,3,4,"curvature_exceeded|lateral_deviation|lateral_deviation|behind_progress",28,18.27,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.34 n=7 c=36|#1(8.7,2.2)s=5.29 n=13 c=40|#2(10.5,1.1)s=5.20 n=6 c=38|#3(11.4,1.4)s=4.83 n=10 c=26|#4(6.7,1.5)s=4.55 n=4 c=19|#5(6.7,2.7)s=4.44 n=4 c=13|#6(10.1,2.3)s=2.18 n=1 c=13","(6.8,3.1)c11|(6.6,2.8)c10|(6.5,2.5)c12|(6.5,1.5)c16|(6.8,1.2)c19|(7.0,2.2)c18|(6.8,1.6)c19|(6.9,1.5)c20|(8.4,0.9)c40|(8.3,2.0)c39|(8.1,2.5)c40|(8.3,2.1)c40|(8.8,2.0)c39|(8.4,2.4)c40|(9.2,0.7)c40|(9.1,1.3)c40|(9.0,1.6)c39|(9.1,1.1)c13|(8.7,2.4)c40|(8.5,1.9)c40|(9.1,1.1)c40|(10.3,0.6)c40|(8.7,2.4)c40|(9.2,1.9)c40|(10.5,1.0)c40|(9.0,2.3)c40|(8.5,2.4)c40|(9.0,2.2)c40|(9.9,1.3)c40|(10.4,0.8)c40|+15more"
240,60.395,4.78,7.535,2.463,-30.1,1.39,-2.23,65.1,2.63,COMMIT_RETURN,RIGHT,LEFT,39,true,50,48,6,9.00,1.22,5.40,7,35.4,6.46,0.820,0.56,1.29,0,"",1.00,0.000,0.000,0.000,0.0,2,4,"behind_progress|lateral_deviation|behind_progress|behind_progress",12,10.34,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.40 n=7 c=35|#1(8.7,2.2)s=5.31 n=14 c=38|#2(10.5,1.1)s=5.25 n=6 c=40|#3(6.8,1.6)s=5.19 n=5 c=13|#4(11.4,1.5)s=4.86 n=12 c=32|#5(10.2,2.4)s=4.06 n=4 c=21","(6.5,1.5)c11|(6.8,1.2)c14|(7.0,2.2)c13|(6.8,1.6)c14|(6.9,1.5)c15|(8.4,0.9)c38|(8.3,2.0)c40|(8.1,2.5)c39|(8.3,2.1)c40|(8.8,2.0)c40|(8.4,2.4)c40|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(9.1,1.1)c10|(8.7,2.4)c40|(8.5,1.9)c40|(9.1,1.1)c40|(10.3,0.6)c40|(8.8,2.4)c40|(9.2,1.9)c40|(10.5,1.0)c40|(9.0,2.3)c40|(8.5,2.4)c40|(9.0,2.2)c40|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c40|(9.2,1.9)c40|(11.4,0.7)c40|+18more"
245,60.496,4.88,7.563,2.250,-28.3,1.15,-1.45,1.5,1.85,COMMIT_RETURN,RIGHT,LEFT,32,true,50,44,6,8.99,1.24,5.49,6,40.0,6.46,0.851,0.48,1.08,0,"",1.00,0.000,0.000,0.000,0.0,2,4,"behind_progress|lateral_deviation|behind_progress|behind_progress",7,0.00,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.49 n=6 c=40|#1(8.7,2.2)s=5.32 n=14 c=36|#2(10.5,1.1)s=5.27 n=6 c=40|#3(11.4,1.6)s=4.88 n=13 c=35|#4(10.2,2.4)s=4.17 n=4 c=30|#5(6.9,1.5)s=2.84 n=1 c=10","(6.9,1.5)c10|(8.4,0.9)c40|(8.3,2.0)c40|(8.1,2.5)c34|(8.3,2.1)c40|(8.8,2.0)c40|(8.4,2.4)c37|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(8.7,2.4)c35|(8.5,1.9)c40|(9.1,1.1)c40|(10.3,0.6)c40|(8.8,2.4)c36|(9.2,1.9)c40|(10.5,1.0)c40|(9.0,2.3)c40|(8.5,2.4)c37|(9.0,2.2)c40|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c40|(9.2,1.9)c40|(11.4,0.7)c40|(11.1,1.0)c40|(11.6,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.5)c40|+14more"
250,60.595,4.98,7.602,2.066,-27.6,1.28,-1.51,15.9,1.98,COMMIT_RETURN,RIGHT,LEFT,28,true,48,40,5,8.99,1.24,5.53,6,40.0,6.46,0.877,0.40,0.89,0,"",1.00,0.000,0.000,0.000,0.0,1,4,"behind_progress|behind_progress|behind_progress|behind_progress",6,0.00,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.53 n=6 c=40|#1(8.7,2.2)s=5.32 n=13 c=36|#2(10.5,1.1)s=5.28 n=6 c=40|#3(11.4,1.5)s=4.96 n=12 c=39|#4(10.2,2.3)s=3.60 n=3 c=31","(8.4,0.9)c40|(8.3,2.0)c40|(8.1,2.5)c29|(8.3,2.1)c40|(8.8,2.0)c40|(8.4,2.4)c32|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(8.7,2.4)c30|(8.5,1.9)c40|(9.1,1.1)c40|(10.3,0.6)c40|(8.8,2.4)c31|(9.2,1.9)c40|(10.5,1.0)c40|(9.0,2.3)c35|(8.5,2.4)c32|(9.0,2.2)c37|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c40|(9.2,1.9)c40|(11.4,0.7)c40|(11.1,1.0)c40|(11.6,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.5)c40|(11.4,1.7)c40|+10more"
255,60.695,5.08,7.656,1.864,-24.7,1.43,-1.65,44.0,2.18,COMMIT_RETURN,RIGHT,LEFT,24,true,42,40,5,8.99,1.24,5.58,6,40.0,6.46,0.906,0.30,0.68,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.58 n=6 c=40|#1(10.5,1.1)s=5.30 n=6 c=40|#2(8.7,2.2)s=5.27 n=13 c=32|#3(11.4,1.5)s=4.97 n=12 c=38|#4(10.2,2.3)s=3.54 n=3 c=26","(8.4,0.9)c40|(8.3,2.0)c36|(8.1,2.5)c24|(8.3,2.1)c35|(8.8,2.0)c37|(8.4,2.4)c27|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(8.7,2.4)c25|(8.5,1.9)c40|(9.1,1.1)c40|(10.3,0.6)c40|(8.8,2.4)c26|(9.2,1.9)c40|(10.5,1.0)c40|(9.0,2.3)c30|(8.5,2.4)c27|(9.0,2.2)c32|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c35|(9.2,1.9)c40|(11.4,0.8)c40|(11.1,1.0)c40|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.5)c40|(11.4,1.7)c40|+10more"
260,60.795,5.18,7.719,1.653,-19.9,1.32,-1.79,49.6,2.23,COMMIT_RETURN,RIGHT,LEFT,23,true,40,40,5,8.99,1.24,5.62,6,40.0,6.46,0.935,0.19,0.46,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.62 n=6 c=40|#1(10.5,1.1)s=5.32 n=6 c=40|#2(8.7,2.2)s=5.20 n=13 c=27|#3(11.4,1.5)s=4.97 n=12 c=38|#4(10.2,2.3)s=3.48 n=3 c=21","(8.4,0.9)c40|(8.3,2.0)c31|(8.1,2.5)c19|(8.3,2.1)c30|(8.8,2.0)c32|(8.4,2.4)c22|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(8.7,2.4)c20|(8.5,1.9)c35|(9.1,1.1)c40|(10.3,0.6)c40|(8.8,2.4)c21|(9.2,1.9)c40|(10.5,1.0)c40|(9.0,2.3)c25|(8.5,2.4)c22|(9.0,2.2)c27|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c30|(9.2,1.9)c39|(11.4,0.7)c40|(11.1,1.0)c40|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|+10more"
265,60.895,5.28,7.775,1.442,-14.9,1.08,-1.85,50.3,2.14,COMMIT_RETURN,RIGHT,LEFT,23,true,41,41,5,8.99,1.24,5.66,6,39.7,6.46,0.965,0.08,0.24,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.66 n=6 c=40|#1(8.7,2.2)s=5.11 n=13 c=22|#2(11.3,1.6)s=4.94 n=15 c=37|#3(10.3,0.9)s=4.93 n=4 c=40|#4(10.2,2.3)s=3.42 n=3 c=16","(8.4,0.9)c40|(8.3,2.0)c26|(8.1,2.5)c14|(8.3,2.1)c25|(8.8,2.0)c27|(8.4,2.4)c17|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(8.7,2.4)c15|(8.5,1.9)c30|(9.1,1.1)c40|(10.3,0.6)c40|(8.8,2.4)c16|(9.2,1.9)c38|(10.5,1.0)c40|(9.0,2.3)c20|(8.5,2.4)c17|(9.0,2.2)c22|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c25|(9.2,1.9)c34|(11.4,0.7)c40|(11.1,1.0)c39|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|+11more"
270,60.995,5.38,7.824,1.244,-10.1,0.76,-1.86,45.1,2.01,COMMIT_RETURN,RIGHT,LEFT,23,true,41,39,5,8.94,1.11,5.78,5,40.0,6.46,0.993,-0.01,0.05,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(8.9,1.1)s=5.78 n=5 c=40|#1(10.4,1.1)s=5.41 n=5 c=40|#2(8.8,2.2)s=5.03 n=13 c=19|#3(11.4,1.6)s=4.96 n=14 c=38|#4(10.2,2.3)s=2.79 n=2 c=14","(8.4,0.9)c40|(8.3,2.0)c21|(8.3,2.1)c20|(8.8,2.0)c22|(8.4,2.4)c12|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(8.7,2.4)c10|(8.5,1.9)c25|(9.1,1.1)c40|(10.3,0.6)c40|(8.8,2.4)c11|(9.2,1.9)c33|(10.5,1.0)c40|(9.0,2.3)c15|(8.5,2.4)c12|(9.0,2.2)c17|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c20|(9.2,1.9)c29|(11.4,0.7)c40|(11.1,1.0)c40|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|+9more"
275,61.096,5.48,7.855,1.054,-5.9,0.44,-1.83,37.7,1.88,COMMIT_RETURN,RIGHT,LEFT,23,true,42,34,5,8.94,1.11,5.79,5,39.6,6.46,1.000,-0.09,0.16,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(8.9,1.1)s=5.79 n=5 c=40|#1(10.4,1.1)s=5.42 n=5 c=40|#2(8.8,2.0)s=5.01 n=9 c=17|#3(11.4,1.6)s=4.98 n=14 c=40|#4(11.6,2.7)s=1.88 n=1 c=11","(8.4,0.9)c40|(8.3,2.0)c16|(8.3,2.1)c15|(8.8,2.0)c17|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c38|(8.5,1.9)c20|(9.1,1.1)c40|(10.3,0.6)c40|(9.2,1.9)c28|(10.5,1.0)c40|(9.0,2.3)c10|(9.0,2.2)c12|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c15|(9.2,1.9)c24|(11.4,0.7)c40|(11.1,1.0)c38|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c40|(11.1,1.0)c39|(11.2,2.2)c40|(11.8,1.9)c40|+4more"
280,61.195,5.58,7.857,0.877,-2.6,-0.08,-1.71,29.1,1.71,COMMIT_RETURN,RIGHT,LEFT,23,true,39,32,5,8.94,1.11,5.77,5,38.6,6.46,1.000,-0.13,0.33,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(8.9,1.1)s=5.77 n=5 c=39|#1(10.4,1.1)s=5.42 n=5 c=40|#2(11.4,1.6)s=4.98 n=14 c=40|#3(8.8,2.0)s=4.96 n=7 c=14|#4(11.6,2.7)s=2.06 n=1 c=26","(8.4,0.9)c40|(8.3,2.0)c11|(8.3,2.1)c10|(8.8,2.0)c12|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c33|(8.5,1.9)c15|(9.1,1.1)c40|(10.3,0.6)c40|(9.2,1.9)c23|(10.5,1.0)c40|(9.9,1.3)c40|(10.4,0.8)c40|(9.3,2.1)c10|(9.2,1.9)c19|(11.4,0.7)c40|(11.1,1.0)c40|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c40|(11.1,1.0)c37|(11.2,2.2)c40|(11.8,1.9)c40|(11.2,2.0)c40|(11.8,1.9)c40|+2more"
285,61.295,5.68,7.806,0.731,0.0,-0.74,-1.35,22.6,1.54,COMMIT_RETURN,RIGHT,LEFT,23,true,33,28,4,10.38,1.07,5.40,5,40.0,6.46,1.000,-0.12,0.47,0,"",1.00,0.000,0.000,0.000,0.0,0,4,"behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(10.4,1.1)s=5.40 n=5 c=40|#1(9.0,1.4)s=5.39 n=8 c=29|#2(11.4,1.6)s=4.97 n=14 c=40|#3(11.6,2.7)s=2.22 n=1 c=40","(8.4,0.9)c40|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c28|(8.5,1.9)c10|(9.1,1.1)c40|(10.3,0.6)c40|(9.2,1.9)c18|(10.5,1.0)c40|(9.9,1.3)c40|(10.4,0.8)c40|(9.2,1.9)c14|(11.4,0.7)c40|(11.1,1.0)c40|(11.6,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c40|(11.1,1.0)c38|(11.2,2.3)c40|(11.8,1.9)c40|(11.2,2.0)c40|(11.8,1.9)c40|(11.5,2.4)c40|(11.6,2.7)c40"
290,61.396,5.78,7.672,0.642,2.0,-1.92,-0.67,13.2,2.04,COMMIT_RETURN,RIGHT,LEFT,23,true,30,26,4,8.99,1.24,5.49,6,32.7,6.46,1.000,-0.01,0.57,0,"",1.00,0.000,0.000,0.000,0.0,0,4,"behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.49 n=6 c=33|#1(10.4,1.1)s=5.38 n=5 c=40|#2(11.4,1.6)s=4.95 n=14 c=40|#3(11.6,2.7)s=2.21 n=1 c=40","(8.4,0.9)c40|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c23|(9.1,1.1)c40|(10.3,0.6)c40|(9.2,1.9)c13|(10.5,1.0)c40|(9.9,1.3)c40|(10.4,0.8)c40|(11.4,0.8)c40|(11.1,1.0)c37|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c40|(11.1,1.0)c40|(11.2,2.3)c40|(11.8,1.9)c40|(11.2,2.0)c40|(11.8,1.9)c40|(11.5,2.4)c40|(11.6,2.7)c40"
295,61.496,5.88,7.451,0.615,2.4,-2.41,-0.04,-6.4,2.41,COMMIT_RETURN,RIGHT,LEFT,25,true,29,27,5,8.95,1.11,5.57,5,35.6,6.46,1.000,0.20,0.68,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(8.9,1.1)s=5.57 n=5 c=36|#1(10.4,1.1)s=5.34 n=5 c=40|#2(11.4,1.6)s=4.93 n=14 c=40|#3(10.3,2.3)s=2.69 n=2 c=16|#4(11.6,2.7)s=2.19 n=1 c=40","(8.4,0.9)c40|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c18|(9.1,1.1)c40|(10.3,0.6)c40|(10.5,1.0)c40|(9.9,1.3)c40|(10.4,0.8)c40|(11.4,0.8)c40|(11.1,1.0)c39|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c40|(11.1,1.0)c40|(11.2,2.3)c40|(11.8,1.9)c40|(11.2,2.0)c40|(11.8,1.9)c40|(11.5,2.4)c40|(11.6,2.7)c40|(10.3,2.3)c17|(10.4,2.4)c14"
300,61.596,5.98,7.197,0.600,1.4,-2.67,-0.05,-14.2,2.67,COMMIT_RETURN,RIGHT,LEFT,27,true,29,28,5,8.95,1.11,5.52,5,37.8,6.46,1.000,0.44,0.85,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(8.9,1.1)s=5.52 n=5 c=38|#1(10.4,1.1)s=5.30 n=5 c=40|#2(11.4,1.6)s=4.90 n=14 c=40|#3(10.3,2.3)s=3.40 n=3 c=26|#4(11.6,2.7)s=2.17 n=1 c=40","(8.4,0.9)c40|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c29|(9.1,1.1)c40|(10.3,0.6)c40|(10.5,1.0)c40|(9.9,1.3)c40|(10.4,0.8)c40|(11.4,0.7)c40|(11.1,1.0)c39|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c40|(11.1,1.0)c39|(11.2,2.3)c40|(11.8,1.9)c40|(11.2,2.0)c40|(11.7,1.9)c40|(11.5,2.4)c40|(11.6,2.7)c40|(10.2,2.3)c32|(10.3,2.3)c29|(10.4,2.4)c17"
305,61.696,6.08,6.923,0.587,0.3,-2.79,-0.13,-5.7,2.80,COMMIT_RETURN,RIGHT,LEFT,26,true,31,30,5,8.99,1.24,5.32,6,35.0,6.46,1.000,0.70,1.07,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(9.0,1.2)s=5.32 n=6 c=35|#1(10.4,1.1)s=5.26 n=5 c=40|#2(11.4,1.6)s=4.87 n=14 c=40|#3(10.2,2.4)s=4.03 n=4 c=32|#4(11.6,2.7)s=2.11 n=1 c=37","(8.4,0.9)c40|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(9.1,1.1)c40|(10.3,0.6)c40|(9.2,1.9)c10|(10.5,1.0)c40|(9.9,1.3)c40|(10.4,0.8)c40|(11.4,0.7)c40|(11.1,1.0)c40|(11.7,0.7)c40|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c37|(11.1,1.0)c38|(11.2,2.3)c40|(11.8,1.9)c39|(11.2,2.0)c40|(11.7,1.9)c39|(11.5,2.4)c40|(11.6,2.7)c37|(10.2,2.3)c40|(10.3,2.3)c40|(10.4,2.4)c32|(10.2,2.4)c14"
310,61.795,6.18,6.636,0.572,-0.0,-2.93,-0.15,-1.0,2.93,COMMIT_RETURN,RIGHT,LEFT,25,true,32,31,5,10.37,1.07,5.23,5,40.0,6.46,1.000,0.98,1.32,0,"",1.00,0.000,0.000,0.000,0.0,0,5,"behind_progress|behind_progress|behind_progress|behind_progress|behind_progress",0,0.00,true,142,FuelCollection_DriverButton,,"#0(10.4,1.1)s=5.23 n=5 c=40|#1(9.0,1.3)s=5.20 n=7 c=35|#2(11.4,1.6)s=4.83 n=14 c=38|#3(10.2,2.4)s=4.08 n=4 c=37|#4(11.6,2.7)s=2.03 n=1 c=32","(8.4,0.9)c40|(9.2,0.7)c40|(9.1,1.3)c40|(8.9,1.6)c40|(9.1,1.1)c40|(10.3,0.6)c40|(9.2,1.9)c25|(10.5,1.0)c40|(9.9,1.3)c40|(10.4,0.8)c40|(11.4,0.7)c40|(11.1,1.0)c40|(11.7,0.7)c39|(10.9,1.5)c40|(10.7,1.7)c40|(11.2,1.4)c40|(11.4,1.7)c40|(11.3,1.6)c40|(11.9,1.7)c32|(11.1,1.0)c39|(11.2,2.3)c40|(11.8,1.9)c34|(11.2,2.0)c40|(11.7,1.9)c34|(11.5,2.4)c35|(11.6,2.7)c32|(10.2,2.3)c40|(10.3,2.3)c40|(10.4,2.4)c40|(10.2,2.4)c29|+1more"
